source,record,event_label,duration_stratum,event_hr,basal_start,basal_end,approach_start,approach_end,path,detector,collapse_role,L,theta_delta_S,theta_R,n_symbols,basal_idx_start,basal_idx_end,search_start_idx,search_end_idx,alarmed,lead_time_h,detection_hr,first_alarm_idx,n_alarm_samples_search,n_core_alarm_samples_search,mean_S_approach,mean_D_approach,frac_low_div_approach,frac_high_syn_approach,error
sddb,35,SDDB,holter_analytic,23.999811197916667,6.0,16.0,20.999811197916667,23.999811197916667,rr_35_clean.npz,I-confirm,confirm,50,0.12,8,100739,26896,70334,70334,100738,0,nan,nan,,0,38,0.43884179104477616,0.5743587204937172,0.0,0.0011138338159946536,
sddb,35,SDDB,holter_analytic,23.999811197916667,6.0,16.0,20.999811197916667,23.999811197916667,rr_35_clean.npz,OPS-S1,n/a,50,0.08,5,100739,26896,70334,70334,100738,1,7.865148654513888,16.13466254340278,70822,494,494,0.43884179104477616,nan,nan,0.03282096977797579,
sddb,36,SDDB,holter_analytic,18.98361111111111,8.98361111111111,11.98361111111111,15.98361111111111,18.98361111111111,rr_36_clean.npz,I0,none,50,0.08,5,77321,34532,45195,45195,71963,1,6.628744574652776,12.354866536458333,46535,1258,1258,0.4461320092214932,0.5670627179760004,0.0,0.033339244546905476,
sddb,36,SDDB,holter_analytic,18.98361111111111,8.98361111111111,11.98361111111111,15.98361111111111,18.98361111111111,rr_36_clean.npz,I-mod,modulate,50,0.08,5,77321,34532,45195,45195,71963,1,6.628744574652776,12.354866536458333,46535,1261,1261,0.4461320092214932,0.5670627179760004,0.0,0.033339244546905476,
sddb,36,SDDB,holter_analytic,18.98361111111111,8.98361111111111,11.98361111111111,15.98361111111111,18.98361111111111,rr_36_clean.npz,I-confirm,confirm,50,0.12,8,77321,34532,45195,45195,71963,1,4.548822699652776,14.434788411458333,54485,16,187,0.4461320092214932,0.5670627179760004,0.0,0.0041674055683631845,
sddb,36,SDDB,holter_analytic,18.98361111111111,8.98361111111111,11.98361111111111,15.98361111111111,18.98361111111111,rr_36_clean.npz,OPS-S1,n/a,50,0.08,5,77321,34532,45195,45195,71963,1,6.628744574652776,12.354866536458333,46535,1258,1258,0.4461320092214932,nan,nan,0.033339244546905476,
sddb,38,SDDB,holter_analytic,8.031666666666666,0.5,3.5,5.031666666666666,8.031666666666666,rr_38_clean.npz,I0,none,50,0.08,5,74428,2979,21274,21274,48664,1,4.506778971354166,3.5248876953125,21430,2349,2349,0.4297889811832514,0.549402598054912,0.006554783296603944,0.17454935864835847,
sddb,38,SDDB,holter_analytic,8.031666666666666,0.5,3.5,5.031666666666666,8.031666666666666,rr_38_clean.npz,I-mod,modulate,50,0.08,5,74428,2979,21274,21274,48664,1,4.506778971354166,3.5248876953125,21430,2363,2363,0.4297889811832514,0.549402598054912,0.006554783296603944,0.17511442617392778,
sddb,38,SDDB,holter_analytic,8.031666666666666,0.5,3.5,5.031666666666666,8.031666666666666,rr_38_clean.npz,I-confirm,confirm,50,0.12,8,74428,2979,21274,21274,48664,1,1.656579861111111,6.375086805555555,39452,111,524,0.4297889811832514,0.549402598054912,0.006554783296603944,0.05328586766118551,
sddb,38,SDDB,holter_analytic,8.031666666666666,0.5,3.5,5.031666666666666,8.031666666666666,rr_38_clean.npz,OPS-S1,n/a,50,0.08,5,74428,2979,21274,21274,48664,1,4.506778971354166,3.5248876953125,21430,2349,2349,0.4297889811832514,nan,nan,0.17454935864835847,
