record_id,source_path,skipped,skip_reason,detector,collapse_role,total_hours_used,basal_start,basal_end,search_start,search_end,refractory_h,n_symbols,basal_idx_start,basal_idx_end,L,theta_delta_S,theta_R,basal_mode,basal_q,mad_kappa,hop,n_episodes,search_hours,first_alarm_hr,alarmed,far_per_24h,error
16539,nsrdb_16539_clean.npz,False,,R1_hop,none,11.999945746527779,0.25,2.0,2.0,11.999945746527779,0.5,58645,1249,8377,50,0.08,3,mean_delta,,,25,2.0,9.999945746527779,6.798700086805556,1.0,4.800026041807953,
16539,nsrdb_16539_clean.npz,False,,R2_basal_q90,none,11.999945746527779,0.25,2.0,2.0,11.999945746527779,0.5,58645,1249,8377,50,,5,percentile,90.0,,1,10.0,9.999945746527779,2.0023914930555557,1.0,24.00013020903976,
16539,nsrdb_16539_clean.npz,False,,R3_basal_mad,none,11.999945746527779,0.25,2.0,2.0,11.999945746527779,0.5,58645,1249,8377,50,,5,mad,,2.5,1,2.0,9.999945746527779,6.756100260416667,1.0,4.800026041807953,
16539,nsrdb_16539_clean.npz,False,,R4_combo,none,11.999945746527779,0.25,2.0,2.0,11.999945746527779,0.5,58645,1249,8377,50,,3,percentile,90.0,,25,2.0,9.999945746527779,6.798700086805556,1.0,4.800026041807953,
16539,nsrdb_16539_clean.npz,False,,R5_combo_Ls100,none,11.999945746527779,0.25,2.0,2.0,11.999945746527779,0.5,58645,1249,8377,100,,3,percentile,90.0,,50,0.0,9.999945746527779,nan,0.0,0.0,
16773,nsrdb_16773_clean.npz,False,,R0_I0_ref,none,11.999856770833333,0.25,2.0,2.0,11.999856770833333,0.5,53465,1116,8959,50,0.08,5,mean_delta,,,1,17.0,9.999856770833333,2.0711848958333334,1.0,40.80058438337008,
16773,nsrdb_16773_clean.npz,False,,R1_hop,none,11.999856770833333,0.25,2.0,2.0,11.999856770833333,0.5,53465,1116,8959,50,0.08,3,mean_delta,,,25,5.0,9.999856770833333,7.390297309027778,1.0,12.000171877461788,
16773,nsrdb_16773_clean.npz,False,,R2_basal_q90,none,11.999856770833333,0.25,2.0,2.0,11.999856770833333,0.5,53465,1116,8959,50,,5,percentile,90.0,,1,19.0,9.999856770833333,2.0192643229166665,1.0,45.600653134354786,
16773,nsrdb_16773_clean.npz,False,,R3_basal_mad,none,11.999856770833333,0.25,2.0,2.0,11.999856770833333,0.5,53465,1116,8959,50,,5,mad,,2.5,1,12.0,9.999856770833333,2.1523090277777777,1.0,28.80041250590829,
16773,nsrdb_16773_clean.npz,False,,R4_combo,none,11.999856770833333,0.25,2.0,2.0,11.999856770833333,0.5,53465,1116,8959,50,,3,percentile,90.0,,25,7.0,9.999856770833333,7.390297309027778,1.0,16.800240628446502,
16773,nsrdb_16773_clean.npz,False,,R5_combo_Ls100,none,11.999856770833333,0.25,2.0,2.0,11.999856770833333,0.5,53465,1116,8959,100,,3,percentile,90.0,,50,7.0,9.999856770833333,6.866970486111111,1.0,16.800240628446502,
16786,nsrdb_16786_clean.npz,False,,R0_I0_ref,none,11.999967447916667,0.25,2.0,2.0,11.999967447916667,0.5,55925,1098,8798,50,0.08,5,mean_delta,,,1,18.0,9.999967447916667,2.088161892361111,1.0,43.20014062545776,
16786,nsrdb_16786_clean.npz,False,,R1_hop,none,11.999967447916667,0.25,2.0,2.0,11.999967447916667,0.5,55925,1098,8798,50,0.08,3,mean_delta,,,25,7.0,9.999967447916667,2.6888563368055554,1.0,16.80005468767802,
16786,nsrdb_16786_clean.npz,False,,R2_basal_q90,none,11.999967447916667,0.25,2.0,2.0,11.999967447916667,0.5,55925,1098,8798,50,,5,percentile,90.0,,1,18.0,9.999967447916667,2.088161892361111,1.0,43.20014062545776,
16786,nsrdb_16786_clean.npz,False,,R3_basal_mad,none,11.999967447916667,0.25,2.0,2.0,11.999967447916667,0.5,55925,1098,8798,50,,5,mad,,2.5,1,10.0,9.999967447916667,2.091148003472222,1.0,24.000078125254312,
16786,nsrdb_16786_clean.npz,False,,R4_combo,none,11.999967447916667,0.25,2.0,2.0,11.999967447916667,0.5,55925,1098,8798,50,,3,percentile,90.0,,25,7.0,9.999967447916667,2.4211935763888888,1.0,16.80005468767802,
16786,nsrdb_16786_clean.npz,False,,R5_combo_Ls100,none,11.999967447916667,0.25,2.0,2.0,11.999967447916667,0.5,55925,1098,8798,100,,3,percentile,90.0,,50,7.0,9.999967447916667,2.4761805555555556,1.0,16.80005468767802,
16795,nsrdb_16795_clean.npz,False,,R0_I0_ref,none,11.99980685763889,0.25,2.0,2.0,11.99980685763889,0.5,57071,1054,9382,50,0.08,5,mean_delta,,,1,18.0,9.99980685763889,2.0216796875,1.0,43.20083439111563,
