param_key,L,theta_D,theta_R,is_baseline,n_sddb,n_detected_sddb,sens_sddb,n_vfdb,n_detected_vfdb,sens_vfdb,n_all,n_detected_all,sens_all,n_controls,total_episodes,total_search_hours,far_per_24h,fraction_alarmed,delta_sens_all,delta_far_per_24h,sens_all_ratio,far_ratio,class,far_within_slack
L50_D0.35_R6,50,0.35,6,False,11,6,0.5454545454545454,22,7,0.3181818181818182,33,13,0.3939393939393939,18,25.0,179.9978949652778,3.3333723159137056,0.3888888888888889,-0.03030303030303033,-0.4000046779096449,0.9285714285714285,0.8928571428571428,lower_sens_lower_far,True
L50_D0.40_R4,50,0.4,4,False,11,10,0.9090909090909091,22,11,0.5,33,21,0.6363636363636364,18,119.0,179.9978949652778,15.866852223749241,1.0,0.2121212121212121,12.13347522992589,1.5,4.25,higher_sens_far_worse,False
L50_D0.40_R5,50,0.4,5,False,11,10,0.9090909090909091,22,11,0.5,33,21,0.6363636363636364,18,112.0,179.9978949652778,14.933507975293402,1.0,0.2121212121212121,11.200130981470052,1.5,4.0,higher_sens_far_worse,False
L50_D0.40_R6,50,0.4,6,False,11,10,0.9090909090909091,22,11,0.5,33,21,0.6363636363636364,18,109.0,179.9978949652778,14.533503297383758,1.0,0.2121212121212121,10.800126303560408,1.5,3.8928571428571432,higher_sens_far_worse,False
L60_D0.30_R4,60,0.3,4,False,11,3,0.2727272727272727,22,1,0.045454545454545456,33,4,0.12121212121212122,18,0.0,179.9978949652778,0.0,0.0,-0.30303030303030304,-3.7333769938233505,0.2857142857142857,0.0,lower_sens_lower_far,True
L60_D0.30_R5,60,0.3,5,False,11,3,0.2727272727272727,22,1,0.045454545454545456,33,4,0.12121212121212122,18,0.0,179.9978949652778,0.0,0.0,-0.30303030303030304,-3.7333769938233505,0.2857142857142857,0.0,lower_sens_lower_far,True
L60_D0.30_R6,60,0.3,6,False,11,3,0.2727272727272727,22,1,0.045454545454545456,33,4,0.12121212121212122,18,0.0,179.9978949652778,0.0,0.0,-0.30303030303030304,-3.7333769938233505,0.2857142857142857,0.0,lower_sens_lower_far,True
L60_D0.35_R4,60,0.35,4,False,11,5,0.45454545454545453,22,6,0.2727272727272727,33,11,0.3333333333333333,18,8.0,179.9978949652778,1.0666791410923857,0.2222222222222222,-0.09090909090909094,-2.666697852730965,0.7857142857142857,0.2857142857142857,lower_sens_lower_far,True
L60_D0.35_R5,60,0.35,5,False,11,5,0.45454545454545453,22,6,0.2727272727272727,33,11,0.3333333333333333,18,7.0,179.9978949652778,0.9333442484558376,0.2222222222222222,-0.09090909090909094,-2.800032745367513,0.7857142857142857,0.25,lower_sens_lower_far,True
L60_D0.35_R6,60,0.35,6,False,11,4,0.36363636363636365,22,6,0.2727272727272727,33,10,0.30303030303030304,18,6.0,179.9978949652778,0.8000093558192894,0.2222222222222222,-0.12121212121212122,-2.933367638004061,0.7142857142857143,0.2142857142857143,lower_sens_lower_far,True
L60_D0.40_R4,60,0.4,4,False,11,8,0.7272727272727273,22,9,0.4090909090909091,33,17,0.5151515151515151,18,60.0,179.9978949652778,8.000093558192894,0.7222222222222222,0.09090909090909088,4.266716564369544,1.2142857142857142,2.142857142857143,higher_sens_far_worse,False
L60_D0.40_R5,60,0.4,5,False,11,7,0.6363636363636364,22,9,0.4090909090909091,33,16,0.48484848484848486,18,59.0,179.9978949652778,7.866758665556345,0.7222222222222222,0.06060606060606061,4.1333816717329945,1.1428571428571428,2.1071428571428568,higher_sens_far_worse,False
L60_D0.40_R6,60,0.4,6,False,11,7,0.6363636363636364,22,9,0.4090909090909091,33,16,0.48484848484848486,18,57.0,179.9978949652778,7.6000888802832485,0.7222222222222222,0.06060606060606061,3.866711886459898,1.1428571428571428,2.0357142857142856,higher_sens_far_worse,False
L70_D0.30_R4,70,0.3,4,False,11,3,0.2727272727272727,22,0,0.0,33,3,0.09090909090909091,18,0.0,179.9978949652778,0.0,0.0,-0.33333333333333337,-3.7333769938233505,0.21428571428571427,0.0,lower_sens_lower_far,True
