source,record,event_label,duration_stratum,event_hr,basal_start,basal_end,approach_start,approach_end,path,detector,collapse_role,L,theta_delta_S,theta_R,basal_mode,basal_q,mad_kappa,hop,n_symbols,basal_idx_start,basal_idx_end,search_start_idx,search_end_idx,alarmed,lead_time_h,detection_hr,first_alarm_idx,n_alarm_samples_search,n_core_alarm_samples_search,mean_S_approach,mean_D_approach,frac_low_div_approach,frac_high_syn_approach,error
sddb,32,SDDB,holter_analytic,16.755,6.754999999999999,9.754999999999999,13.754999999999999,16.755,rr_32_clean.npz,R4_combo,none,50,,3,percentile,90.0,,25,127197,34411,49576,49576,83947,1,4.930061848958333,11.824938151041666,60251,6,6,0.39855276832887027,0.5164792968404462,0.0015922414417022508,0.06955200115799377,
sddb,32,SDDB,holter_analytic,16.755,6.754999999999999,9.754999999999999,13.754999999999999,16.755,rr_32_clean.npz,R5_combo_Ls100,none,100,,3,percentile,90.0,,50,127197,34411,49576,49576,83947,1,0.08385959201388715,16.671140407986112,83576,2,2,0.36347420568864447,0.6138734087637612,0.0,0.047984367084026924,
sddb,35,SDDB,holter_analytic,23.999811197916667,6.0,16.0,20.999811197916667,23.999811197916667,rr_35_clean.npz,R0_I0_ref,none,50,0.08,5,mean_delta,,,1,100739,26896,70334,70334,100738,1,7.865148654513888,16.13466254340278,70822,494,494,0.43884179104477616,0.5743587204937172,0.0,0.03282096977797579,
sddb,35,SDDB,holter_analytic,23.999811197916667,6.0,16.0,20.999811197916667,23.999811197916667,rr_35_clean.npz,R1_hop,none,50,0.08,3,mean_delta,,,25,100739,26896,70334,70334,100738,1,3.857430555555556,20.14238064236111,84534,1,1,0.43884179104477616,0.5743587204937172,0.0,0.03282096977797579,
sddb,35,SDDB,holter_analytic,23.999811197916667,6.0,16.0,20.999811197916667,23.999811197916667,rr_35_clean.npz,R2_basal_q90,none,50,,5,percentile,90.0,,1,100739,26896,70334,70334,100738,1,7.971399739583333,16.028411458333334,70440,2342,2342,0.43884179104477616,0.5743587204937172,0.0,0.12363555357540655,
sddb,35,SDDB,holter_analytic,23.999811197916667,6.0,16.0,20.999811197916667,23.999811197916667,rr_35_clean.npz,R3_basal_mad,none,50,,5,mad,,2.5,1,100739,26896,70334,70334,100738,1,7.850589192708334,16.149222005208333,70879,112,112,0.43884179104477616,0.5743587204937172,0.0,0.005197891141308384,
sddb,35,SDDB,holter_analytic,23.999811197916667,6.0,16.0,20.999811197916667,23.999811197916667,rr_35_clean.npz,R4_combo,none,50,,3,percentile,90.0,,25,100739,26896,70334,70334,100738,1,7.055595703125,16.944215494791667,73759,10,10,0.43884179104477616,0.5743587204937172,0.0,0.12363555357540655,
sddb,35,SDDB,holter_analytic,23.999811197916667,6.0,16.0,20.999811197916667,23.999811197916667,rr_35_clean.npz,R5_combo_Ls100,none,100,,3,percentile,90.0,,50,100739,26896,70334,70334,100738,1,7.244482421875002,16.755328776041665,73084,10,10,0.4027184376624341,0.6591709776160656,0.0,0.1299472785327096,
sddb,36,SDDB,holter_analytic,18.98361111111111,8.98361111111111,11.98361111111111,15.98361111111111,18.98361111111111,rr_36_clean.npz,R0_I0_ref,none,50,0.08,5,mean_delta,,,1,77321,34532,45195,45195,71963,1,6.628744574652776,12.354866536458333,46535,1258,1258,0.4461320092214932,0.5670627179760004,0.0,0.033339244546905476,
sddb,36,SDDB,holter_analytic,18.98361111111111,8.98361111111111,11.98361111111111,15.98361111111111,18.98361111111111,rr_36_clean.npz,R1_hop,none,50,0.08,3,mean_delta,,,25,77321,34532,45195,45195,71963,1,6.277527126736109,12.706083984375,47845,6,6,0.4461320092214932,0.5670627179760004,0.0,0.033339244546905476,
sddb,36,SDDB,holter_analytic,18.98361111111111,8.98361111111111,11.98361111111111,15.98361111111111,18.98361111111111,rr_36_clean.npz,R2_basal_q90,none,50,,5,percentile,90.0,,1,77321,34532,45195,45195,71963,1,6.963646918402777,12.019964192708333,45324,3601,3601,0.4461320092214932,0.5670627179760004,0.0,0.12652952651179286,
