source_db,record_id,metric,event_hr,event_label,duration_stratum,basal_start,basal_end,approach_start,approach_end,pre_event_hours,total_hours,z_threshold,min_consecutive,theta3,high_threshold,W_TAU,stride,delta,basal_mean_metric,approach_mean_metric,independence,lead_time_h,detection_hr,alarmed,z_at_detection,basal_mean,basal_std,n_search_points
vfdb,424,ar1,0.3497211032443576,VFIB,short_15_60min,0.0,0.11657370108145254,0.23314740216290508,0.3497211032443576,0.34972110390663147,0.5809099674224854,2.0,3.0,0.08,0.65,101,5,0.34446248710530025,0.11502252009359401,0.4594850071988943,independent,0.15439665052625867,0.19532445271809895,1.0,2.0269779761912052,0.11502252009359401,0.029423945250768687,354.0
vfdb,424,excess3,0.3497211032443576,VFIB,short_15_60min,0.0,0.11657370108145254,0.23314740216290508,0.3497211032443576,0.34972110390663147,0.5809099674224854,2.0,3.0,0.08,0.65,101,5,-0.015985880731521962,0.3611081913649618,0.34512231063343984,independent,0.22297999064127602,0.1267411126030816,1.0,2.521986554837616,0.3611081913649618,0.027675987423186537,355.0
vfdb,425,tau_s,0.25822555541992187,VT,short_15_60min,0.0,0.08607518513997396,0.17215037027994792,0.25822555541992187,0.25822556018829346,0.5832855105400085,2.0,3.0,0.08,0.65,101,5,-0.04559054075710174,-0.07285763059064528,-0.11844817134774702,independent,0.009895562065972224,0.24832999335394965,1.0,-2.2612186186525305,-0.07285763059064528,0.040464378055219796,96.0
vfdb,425,var,0.25822555541992187,VT,short_15_60min,0.0,0.08607518513997396,0.17215037027994792,0.25822555541992187,0.25822556018829346,0.5832855105400085,2.0,3.0,0.08,0.65,101,5,nan,nan,nan,independent,nan,nan,0.0,nan,nan,nan,0.0
vfdb,425,ar1,0.25822555541992187,VT,short_15_60min,0.0,0.08607518513997396,0.17215037027994792,0.25822555541992187,0.25822556018829346,0.5832855105400085,2.0,3.0,0.08,0.65,101,5,nan,nan,nan,independent,nan,nan,0.0,nan,nan,nan,0.0
vfdb,425,excess3,0.25822555541992187,VT,short_15_60min,0.0,0.08607518513997396,0.17215037027994792,0.25822555541992187,0.25822556018829346,0.5832855105400085,2.0,3.0,0.08,0.65,101,5,0.043536676689303,0.31335116996192386,0.35688784665122686,independent,0.10349555121527779,0.15473000420464408,1.0,2.233238903917104,0.31335116996192386,0.01728460695880737,95.0
vfdb,428,tau_s,0.4687388780381944,VT,short_15_60min,0.0,0.15624629267939813,0.31249258535879626,0.4687388780381944,0.4687388837337494,0.5833077430725098,2.0,3.0,0.08,0.65,101,5,0.024456427785635712,-0.027820407040704074,-0.003363979255068363,independent,0.3115544297960069,0.1571844482421875,1.0,-2.274092747896436,-0.027820407040704074,0.050722605705243666,329.0
vfdb,428,var,0.4687388780381944,VT,short_15_60min,0.0,0.15624629267939813,0.31249258535879626,0.4687388780381944,0.4687388837337494,0.5833077430725098,2.0,3.0,0.08,0.65,101,5,-3237.718617607481,3869.441482304852,631.7228646973707,independent,0.3115544297960069,0.1571844482421875,1.0,3.1284757796833516,3869.441482304852,545.8733431637004,329.0
vfdb,428,ar1,0.4687388780381944,VT,short_15_60min,0.0,0.15624629267939813,0.31249258535879626,0.4687388780381944,0.4687388837337494,0.5833077430725098,2.0,3.0,0.08,0.65,101,5,0.2987296982134138,-0.11791472882794399,0.18081496938546981,independent,0.2969177585177951,0.1718211195203993,1.0,2.2730454443166406,-0.11791472882794399,0.05656897201620548,329.0
vfdb,428,excess3,0.4687388780381944,VT,short_15_60min,0.0,0.15624629267939813,0.31249258535879626,0.4687388780381944,0.4687388837337494,0.5833077430725098,2.0,3.0,0.08,0.65,101,5,-0.05932156634506647,0.37799622391436005,0.3186746575692936,independent,0.1471455552842882,0.32159332275390623,1.0,-2.0871545468766572,0.37799622391436005,0.044905907900474905,330.0
