source,record,event_label,duration_stratum,event_hr,basal_start,basal_end,approach_start,approach_end,path,detector,collapse_role,L,theta_delta_S,theta_R,n_symbols,basal_idx_start,basal_idx_end,search_start_idx,search_end_idx,alarmed,lead_time_h,detection_hr,first_alarm_idx,n_alarm_samples_search,n_core_alarm_samples_search,mean_S_approach,mean_D_approach,frac_low_div_approach,frac_high_syn_approach,error
vfdb,605,VT,short_15_60min,0.45771331787109376,0.0,0.15257110595703124,0.3051422119140625,0.45771331787109376,vfdb_605_clean.npz,I0_dS0.15_R10,none,50,0.15,10,1881,0,430,430,1270,0,nan,nan,,0,0,0.422988679245283,0.577961215932914,0.0,0.0,
vfdb,605,VT,short_15_60min,0.45771331787109376,0.0,0.15257110595703124,0.3051422119140625,0.45771331787109376,vfdb_605_clean.npz,I0_dS0.15_R12,none,50,0.15,12,1881,0,430,430,1270,0,nan,nan,,0,0,0.422988679245283,0.577961215932914,0.0,0.0,
vfdb,607,VT,too_short,0.037178887261284724,0.0,0.011153666178385417,0.026025221082899307,0.037178887261284724,vfdb_607_clean.npz,I0_dS0.08_R5,none,50,0.08,5,1856,0,50,27,99,1,0.00047888861762152707,0.0366999986436632,97,2,2,0.46645000000000003,0.4809027777777778,0.0,0.25,
vfdb,607,VT,too_short,0.037178887261284724,0.0,0.011153666178385417,0.026025221082899307,0.037178887261284724,vfdb_607_clean.npz,I0_dS0.08_R8,none,50,0.08,8,1856,0,50,27,99,0,nan,nan,,0,0,0.46645000000000003,0.4809027777777778,0.0,0.25,
vfdb,607,VT,too_short,0.037178887261284724,0.0,0.011153666178385417,0.026025221082899307,0.037178887261284724,vfdb_607_clean.npz,I0_dS0.08_R10,none,50,0.08,10,1856,0,50,27,99,0,nan,nan,,0,0,0.46645000000000003,0.4809027777777778,0.0,0.25,
vfdb,607,VT,too_short,0.037178887261284724,0.0,0.011153666178385417,0.026025221082899307,0.037178887261284724,vfdb_607_clean.npz,I0_dS0.08_R12,none,50,0.08,12,1856,0,50,27,99,0,nan,nan,,0,0,0.46645000000000003,0.4809027777777778,0.0,0.25,
vfdb,607,VT,too_short,0.037178887261284724,0.0,0.011153666178385417,0.026025221082899307,0.037178887261284724,vfdb_607_clean.npz,I0_dS0.10_R5,none,50,0.1,5,1856,0,50,27,99,0,nan,nan,,0,0,0.46645000000000003,0.4809027777777778,0.0,0.03125,
vfdb,607,VT,too_short,0.037178887261284724,0.0,0.011153666178385417,0.026025221082899307,0.037178887261284724,vfdb_607_clean.npz,I0_dS0.10_R8,none,50,0.1,8,1856,0,50,27,99,0,nan,nan,,0,0,0.46645000000000003,0.4809027777777778,0.0,0.03125,
vfdb,607,VT,too_short,0.037178887261284724,0.0,0.011153666178385417,0.026025221082899307,0.037178887261284724,vfdb_607_clean.npz,I0_dS0.10_R10,none,50,0.1,10,1856,0,50,27,99,0,nan,nan,,0,0,0.46645000000000003,0.4809027777777778,0.0,0.03125,
vfdb,607,VT,too_short,0.037178887261284724,0.0,0.011153666178385417,0.026025221082899307,0.037178887261284724,vfdb_607_clean.npz,I0_dS0.10_R12,none,50,0.1,12,1856,0,50,27,99,0,nan,nan,,0,0,0.46645000000000003,0.4809027777777778,0.0,0.03125,
